Institution Name,City,State,ZIP Code,Cluster,In-State Tuition,Out-of-State Tuition,Total Cost ($),% Receiving Pell Grants,% Receiving Federal Loans,Graduation Rate (4-Year),3-Year Default Rate,Latitude,Longitude
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,07666,"Elite, Low-Aid Institutions",35822.0,35822.0,47791.0,0.2151,0.221,0.6171,0.0,40.88998,-74.01067
Felician University,Lodi,NJ,07644,"High-Risk, High-Aid Institutions",37830.0,37830.0,50346.0,0.5155,0.5739,0.4968,0.0,40.87836,-74.08145
Fairleigh Dickinson University-Florham Campus,Madison,NJ,07940,"Elite, Low-Aid Institutions",35822.0,35822.0,52840.0,0.3492,0.5728,0.723,0.0,40.76006,-74.41889
Georgian Court University,Lakewood,NJ,08701,"Elite, Low-Aid Institutions",37110.0,37110.0,49198.0,0.3025,0.4439,0.5509,0.0,40.07635,-74.20311
Rowan University,Glassboro,NJ,08028,"Elite, Low-Aid Institutions",15700.0,25564.0,34116.0,0.3129,0.4431,0.6828,0.0,39.69336,-75.11949
Eastwick College-Ramsey,Ramsey,NJ,07446,"High-Risk, High-Aid Institutions",17028.0,17028.0,33887.0,0.4478,0.7051,0.6364,0.0,41.05944,-74.14532
New Jersey City University,Jersey City,NJ,07305,"Middle-Tier, Mixed-Aid Institutions",13971.0,24888.0,23668.0,0.5238,0.3236,0.3874,0.0,40.69839,-74.08158
Kean University,Union,NJ,07083,"High-Risk, High-Aid Institutions",13426.0,21076.0,24924.0,0.4631,0.456,0.4338,0.0,40.69443,-74.2692
Monmouth University,West Long Branch,NJ,07764,"Elite, Low-Aid Institutions",44850.0,44850.0,60113.0,0.3036,0.6106,0.7033,0.0,40.28832,-74.01854
Montclair State University,Montclair,NJ,07043,"Middle-Tier, Mixed-Aid Institutions",14766.0,24126.0,25926.0,0.4439,0.403,0.6426,0.0,40.84411,-74.20041
New Jersey Institute of Technology,Newark,NJ,07102,"Middle-Tier, Mixed-Aid Institutions",19022.0,35934.0,32228.0,0.3897,0.3285,0.7311,0.0,40.73576,-74.17343
Princeton University,Princeton,NJ,08544,"Elite, Low-Aid Institutions",59710.0,59710.0,80440.0,0.1872,0.0296,0.9709,0.0,40.34641,-74.65787
Ramapo College of New Jersey,Mahwah,NJ,07430,"Elite, Low-Aid Institutions",15978.0,26388.0,30176.0,0.2672,0.3906,0.7186,0.0,41.08157,-74.18562
Rider University,Lawrenceville,NJ,08648,"Elite, Low-Aid Institutions",38900.0,38900.0,53982.0,0.3336,0.5988,0.6332,0.0,40.28488,-74.72201
Rutgers University-Camden,Camden,NJ,08102,"High-Risk, High-Aid Institutions",17079.0,35841.0,33812.0,0.4432,0.4863,0.6645,0.0,39.95203,-75.12134
Rutgers University-New Brunswick,New Brunswick,NJ,08901,"Elite, Low-Aid Institutions",17239.0,36001.0,35232.0,0.272,0.3679,0.8501,0.0,40.48426,-74.44275
Rutgers University-Newark,Newark,NJ,07102,"Middle-Tier, Mixed-Aid Institutions",16586.0,35348.0,33749.0,0.557,0.3087,0.676,0.0,40.73576,-74.17343
Saint Peter's University,Jersey City,NJ,07306,"High-Risk, High-Aid Institutions",41054.0,41054.0,50052.0,0.5418,0.3322,0.6313,0.0,40.73674,-74.07132
Seton Hall University,South Orange,NJ,07079,"Elite, Low-Aid Institutions",51370.0,51370.0,64996.0,0.3026,0.5116,0.7147,0.0,40.74908,-74.26022
Saint Elizabeth University,Morristown,NJ,07960,"High-Risk, High-Aid Institutions",35942.0,35942.0,52328.0,0.5414,0.6282,0.4024,0.0,40.78452,-74.49813
Stevens Institute of Technology,Hoboken,NJ,07030,"Elite, Low-Aid Institutions",60952.0,60952.0,76449.0,0.2047,0.5496,0.8988,0.0,40.7451,-74.02815
Stockton University,Galloway,NJ,08205,"High-Risk, High-Aid Institutions",15532.0,23420.0,32159.0,0.415,0.5117,0.7197,0.0,39.47455,-74.45698
The College of New Jersey,Ewing,NJ,08628,"Elite, Low-Aid Institutions",18685.0,24568.0,37070.0,0.2013,0.4735,0.8523,0.0,40.26705,-74.82235
William Paterson University of New Jersey,Wayne,NJ,07470,"Middle-Tier, Mixed-Aid Institutions",15150.0,24464.0,26555.0,0.4447,0.417,0.4771,0.0,40.94805,-74.24504
Eastern New Mexico University-Main Campus,Portales,NM,88130,"Middle-Tier, Mixed-Aid Institutions",6863.0,8843.0,18503.0,0.3201,0.1965,0.3981,0.0,34.1285,-103.31825
Institute of American Indian and Alaska Native Culture and Arts Development,Santa Fe,NM,87508,"Middle-Tier, Mixed-Aid Institutions",5801.0,5801.0,23873.0,0.2038,0.0,0.2453,0.0,35.52064,-105.94593
New Mexico Highlands University,Las Vegas,NM,87701,"Middle-Tier, Mixed-Aid Institutions",7260.0,12180.0,21046.0,0.4636,0.1736,0.2559,0.0,35.53091,-104.94419
New Mexico Institute of Mining and Technology,Socorro,NM,87801,"Middle-Tier, Mixed-Aid Institutions",9058.0,26312.0,22872.0,0.3087,0.3514,0.5636,0.0,34.04824,-106.96668
University of New Mexico-Main Campus,Albuquerque,NM,87131,"Middle-Tier, Mixed-Aid Institutions",8115.0,26450.0,20973.0,0.3624,0.4287,0.5253,0.0,,
New Mexico State University-Main Campus,Las Cruces,NM,88003,"Middle-Tier, Mixed-Aid Institutions",8147.0,25271.0,20930.0,0.403,0.2288,0.5222,0.0,32.27868,-106.74566
Northern New Mexico College,Espanola,NM,87532,"Middle-Tier, Mixed-Aid Institutions",6400.0,14328.0,17529.0,0.3553,0.0329,0.3259,0.0,35.97965,-106.1048
University of the Southwest,Hobbs,NM,88240,"High-Risk, High-Aid Institutions",16670.0,16670.0,30369.0,0.5573,0.6254,0.2667,0.0,32.67285,-103.43454
Western New Mexico University,Silver City,NM,88061,"Middle-Tier, Mixed-Aid Institutions",7868.0,14354.0,21649.0,0.4186,0.22,0.3489,0.0,32.6211,-108.40888
Vaughn College of Aeronautics and Technology,Flushing,NY,11369,"High-Risk, High-Aid Institutions",28850.0,28850.0,47174.0,0.5251,0.5072,0.3992,0.0,40.76345,-73.87222
Adelphi University,Garden City,NY,11530,"Elite, Low-Aid Institutions",47290.0,47290.0,57444.0,0.2944,0.5953,0.6893,0.0,40.72716,-73.63654
Bryant & Stratton College-Albany,Albany,NY,12205,"High-Risk, High-Aid Institutions",18892.0,18892.0,22650.0,0.6531,0.6781,0.2195,0.0,42.71719,-73.83006
Albany College of Pharmacy and Health Sciences,Albany,NY,12208,"Elite, Low-Aid Institutions",40375.0,40375.0,52317.0,0.2928,0.8801,0.6882,0.0,42.65293,-73.80835
Alfred University,Alfred,NY,14802,"High-Risk, High-Aid Institutions",39530.0,39530.0,54516.0,0.3898,0.6719,0.555,0.0,42.2537,-77.78989
American Musical and Dramatic Academy,New York,NY,10023,"Elite, Low-Aid Institutions",45560.0,45560.0,63779.0,0.3596,0.6404,0.7202,0.0,40.77464,-73.97836
Bard College,Annandale-On-Hudson,NY,12504,"Elite, Low-Aid Institutions",63612.0,63612.0,81661.0,0.2308,0.3441,0.7271,0.0,42.02342,-73.9094
Barnard College,New York,NY,10027,"Elite, Low-Aid Institutions",66246.0,66246.0,84023.0,0.154,0.3745,0.9294,0.0,40.81187,-73.95459
Berkeley College-New York,New York,NY,10017,"High-Risk, High-Aid Institutions",28600.0,28600.0,39029.0,0.5352,0.5627,0.4025,0.0,40.75235,-73.9726
Boricua College,New York,NY,10032,"Middle-Tier, Mixed-Aid Institutions",12525.0,12525.0,23338.0,0.8517,0.1586,0.7063,0.0,40.839,-73.94282
Bryant & Stratton College-Syracuse North,Liverpool,NY,13090,"High-Risk, High-Aid Institutions",19310.0,19310.0,21955.0,0.6508,0.7659,0.25,0.0,43.15162,-76.21344
Bryant & Stratton College-Buffalo,Buffalo,NY,14203,"High-Risk, High-Aid Institutions",19126.0,19126.0,23942.0,0.6579,0.6912,0.275,0.0,42.86244,-78.86507
Bryant & Stratton College-Greece,Rochester,NY,14612,"High-Risk, High-Aid Institutions",19593.0,19593.0,23142.0,0.6612,0.7796,0.3043,0.0,43.26513,-77.67654
Canisius University,Buffalo,NY,14208,"Elite, Low-Aid Institutions",32720.0,32720.0,42271.0,0.2679,0.5341,0.7065,0.001,42.9146,-78.85146
Clarkson University,Potsdam,NY,13699,"Elite, Low-Aid Institutions",57950.0,57950.0,76451.0,0.2046,0.6537,0.7356,0.0,44.66372,-74.99851
Colgate University,Hamilton,NY,13346,"Elite, Low-Aid Institutions",67024.0,67024.0,83650.0,0.1268,0.1217,0.9053,0.0,42.82093,-75.54453
Metropolitan College of New York,New York,NY,10006,"High-Risk, High-Aid Institutions",20188.0,20188.0,32786.0,0.608,0.6761,0.2474,0.0,40.70949,-74.01306
Columbia University in the City of New York,New York,NY,10027,"Elite, Low-Aid Institutions",69045.0,69045.0,86042.0,0.2254,0.1439,0.9496,0.0,40.81187,-73.95459
The Cooper Union for the Advancement of Science and Art,New York,NY,10003,"Elite, Low-Aid Institutions",46820.0,46820.0,67088.0,0.2792,0.208,0.8032,0.0,40.73184,-73.98915
Cornell University,Ithaca,NY,14853,"Elite, Low-Aid Institutions",66014.0,66014.0,83196.0,0.1821,0.2407,0.9514,0.0,42.44727,-76.48149
Culinary Institute of America,Hyde Park,NY,12538,"Elite, Low-Aid Institutions",38410.0,38410.0,54106.0,0.2789,0.5374,0.6467,0.0,41.79246,-73.89336
CUNY Bernard M Baruch College,New York,NY,10010,"Middle-Tier, Mixed-Aid Institutions",7464.0,15414.0,13521.0,0.5533,0.1199,0.7211,0.0,40.73899,-73.98243
CUNY Brooklyn College,Brooklyn,NY,11210,"Middle-Tier, Mixed-Aid Institutions",7452.0,15402.0,13573.0,0.5639,0.07,0.5658,0.0,40.62801,-73.94631
College of Staten Island CUNY,Staten Island,NY,10314,"Middle-Tier, Mixed-Aid Institutions",7490.0,15440.0,14084.0,0.4925,0.1104,0.3278,0.0,40.60086,-74.16306
CUNY City College,New York,NY,10031,"Middle-Tier, Mixed-Aid Institutions",7340.0,15290.0,13514.0,0.5958,0.0748,0.5466,0.0,40.82485,-73.95023
CUNY Hunter College,New York,NY,10065,"Middle-Tier, Mixed-Aid Institutions",7382.0,15332.0,13310.0,0.5501,0.0715,0.6099,0.0,40.76472,-73.96332
CUNY John Jay College of Criminal Justice,New York,NY,10019,"Middle-Tier, Mixed-Aid Institutions",7470.0,15420.0,13712.0,0.5919,0.0846,0.5549,0.0,40.76586,-73.9853
CUNY Lehman College,Bronx,NY,10468,"Middle-Tier, Mixed-Aid Institutions",7410.0,15360.0,13456.0,0.6053,0.1288,0.4929,0.0,40.8681,-73.89985
CUNY Medgar Evers College,Brooklyn,NY,11225,"Middle-Tier, Mixed-Aid Institutions",7352.0,15302.0,14069.0,0.5679,0.1217,0.2229,0.0,40.6631,-73.95392
CUNY New York City College of Technology,Brooklyn,NY,11201,"Middle-Tier, Mixed-Aid Institutions",7332.0,15282.0,13404.0,0.5544,0.0553,0.1941,0.0,40.69477,-73.99031
CUNY Queens College,Queens,NY,11367,"Middle-Tier, Mixed-Aid Institutions",7538.0,15488.0,13643.0,0.4772,0.0893,0.6016,0.0,40.73044,-73.82274
CUNY York College,Jamaica,NY,11451,"Middle-Tier, Mixed-Aid Institutions",7358.0,15308.0,13686.0,0.4343,0.0619,0.3027,0.0,40.7012,-73.79579
D'Youville  University,Buffalo,NY,14201,"High-Risk, High-Aid Institutions",33560.0,33560.0,42512.0,0.3582,0.6247,0.5668,0.001,42.89706,-78.88752
Daemen University,Amherst,NY,14226,"High-Risk, High-Aid Institutions",33724.0,33724.0,44232.0,0.4167,0.6125,0.584,0.0,42.97078,-78.79844
Dominican University New York,Orangeburg,NY,10962,"High-Risk, High-Aid Institutions",33060.0,33060.0,48001.0,0.4111,0.691,0.5677,0.0,41.04857,-73.96057
Elmira College,Elmira,NY,14901,"Elite, Low-Aid Institutions",37932.0,37932.0,50783.0,0.3498,0.7422,0.6404,0.0,42.07363,-76.74137
Fashion Institute of Technology,New York,NY,10001,"Elite, Low-Aid Institutions",6170.0,16750.0,29732.0,0.323,0.3144,0.8333,0.0,40.75064,-73.99728
Five Towns College,Dix Hills,NY,11746,"High-Risk, High-Aid Institutions",29950.0,29950.0,40792.0,0.4456,0.5242,0.4898,0.0,40.81421,-73.3608
Fordham University,Bronx,NY,10458,"Elite, Low-Aid Institutions",61992.0,61992.0,77351.0,0.2086,0.4695,0.8027,0.0,40.86249,-73.88643
Hamilton College,Clinton,NY,13323,"Elite, Low-Aid Institutions",65740.0,65740.0,80380.0,0.181,0.3069,0.9125,0.0,43.04198,-75.38144
Hartwick College,Oneonta,NY,13820,"High-Risk, High-Aid Institutions",52849.0,52849.0,66623.0,0.3503,0.8053,0.4615,0.0,42.47204,-75.03893
Hilbert College,Hamburg,NY,14075,"High-Risk, High-Aid Institutions",32150.0,32150.0,40002.0,0.4376,0.7224,0.4699,0.0,42.71297,-78.82985
Hobart William Smith Colleges,Geneva,NY,14456,"Elite, Low-Aid Institutions",63268.0,63268.0,80635.0,0.2412,0.7107,0.7271,0.0,42.84584,-77.00012
Hofstra University,Hempstead,NY,11549,"Elite, Low-Aid Institutions",55450.0,55450.0,68298.0,0.243,0.4694,0.671,0.0,40.71896,-73.59973
Houghton University,Houghton,NY,14744,"High-Risk, High-Aid Institutions",17290.0,17290.0,29287.0,0.3379,0.5602,0.6466,0.0,42.4219,-78.21516
Iona University,New Rochelle,NY,10801,"Elite, Low-Aid Institutions",45880.0,45880.0,57336.0,0.2615,0.4288,0.5744,0.0,40.91751,-73.78396
Ithaca College,Ithaca,NY,14850,"Elite, Low-Aid Institutions",50510.0,50510.0,66162.0,0.1901,0.6415,0.7411,0.0,42.43249,-76.49891
Jamestown Business College,Jamestown,NY,14701,"Middle-Tier, Mixed-Aid Institutions",12945.0,12945.0,19567.0,0.6864,0.0767,0.6053,0.037,42.08091,-79.25502
Jewish Theological Seminary of America,New York,NY,10027,"Elite, Low-Aid Institutions",65545.0,65545.0,80579.0,0.0537,0.1678,0.8684,0.0,40.81187,-73.95459
The Juilliard School,New York,NY,10023,"Elite, Low-Aid Institutions",56550.0,56550.0,81090.0,0.1331,0.2116,0.9,0.0,40.77464,-73.97836
Keuka College,Keuka Park,NY,14478,"High-Risk, High-Aid Institutions",38000.0,38000.0,53506.0,0.4355,0.866,0.4877,0.0,42.58011,-77.12791
LIM College,New York,NY,10017,"High-Risk, High-Aid Institutions",31950.0,31950.0,50471.0,0.3571,0.6272,0.5299,0.0,40.75235,-73.9726
Le Moyne College,Syracuse,NY,13214,"Elite, Low-Aid Institutions",38970.0,38970.0,51033.0,0.2996,0.6212,0.7098,0.0,43.03865,-76.0741
Long Island University,Brookville,NY,11548,"Elite, Low-Aid Institutions",41642.0,41642.0,52419.0,0.1886,0.2545,0.5544,0.0,40.81414,-73.6097
Manhattan College,Riverdale,NY,10471,"Elite, Low-Aid Institutions",50850.0,50850.0,62537.0,0.3121,0.4984,0.6597,0.0,40.90002,-73.9067
Manhattan School of Music,New York,NY,10027,"Elite, Low-Aid Institutions",54600.0,54600.0,74277.0,0.1319,0.3287,0.7826,0.0,40.81187,-73.95459
Manhattanville College,Purchase,NY,10577,"Elite, Low-Aid Institutions",42950.0,42950.0,55641.0,0.3349,0.593,0.5373,0.0,41.03755,-73.71349
Maria College of Albany,Albany,NY,12208,"High-Risk, High-Aid Institutions",17680.0,17680.0,23518.0,0.4074,0.7503,0.4286,0.0,42.65293,-73.80835
Marist College,Poughkeepsie,NY,12601,"Elite, Low-Aid Institutions",46140.0,46140.0,63898.0,0.1472,0.6301,0.7984,0.0,41.70602,-73.91119
Marymount Manhattan College,New York,NY,10021,"Elite, Low-Aid Institutions",40260.0,40260.0,63837.0,0.2842,0.6922,0.4981,0.0,40.76963,-73.95899
Mercy University,Dobbs Ferry,NY,10522,"High-Risk, High-Aid Institutions",22106.0,22106.0,32391.0,0.4733,0.4889,0.481,0.0,41.01221,-73.8646
Molloy College,Rockville Centre,NY,11571,"Elite, Low-Aid Institutions",37840.0,37840.0,48251.0,0.2993,0.6142,0.7176,0.002,,
Monroe College,Bronx,NY,10468,"High-Risk, High-Aid Institutions",17922.0,17922.0,26306.0,0.5766,0.4846,0.5748,0.0,40.8681,-73.89985
Mount Saint Mary College,Newburgh,NY,12550,"Elite, Low-Aid Institutions",41370.0,41370.0,51810.0,0.297,0.6492,0.6566,0.0,41.53671,-74.05196
University of Mount Saint Vincent,Bronx,NY,10471,"High-Risk, High-Aid Institutions",42740.0,42740.0,50617.0,0.4325,0.5533,0.5714,0.0,40.90002,-73.9067
Nazareth University,Rochester,NY,14618,"Elite, Low-Aid Institutions",40880.0,40880.0,56140.0,0.2592,0.7413,0.7291,0.0,43.11305,-77.55547
The New School,New York,NY,10011,"Elite, Low-Aid Institutions",56386.0,56386.0,82757.0,0.1532,0.2586,0.7119,0.0,40.74173,-74.00037
New York University,New York,NY,10012,"Elite, Low-Aid Institutions",60438.0,60438.0,79121.0,0.1856,0.2171,0.8846,0.0,40.7256,-73.99794
Niagara University,Niagara University,NY,14109,"Elite, Low-Aid Institutions",38135.0,38135.0,50174.0,0.2591,0.5736,0.7024,0.0,43.13718,-79.03516
New York Institute of Technology,Old Westbury,NY,11568,"Elite, Low-Aid Institutions",44360.0,44360.0,53625.0,0.437,0.4561,0.5604,0.0,40.78659,-73.59719
New York School of Interior Design,New York,NY,10021,"Elite, Low-Aid Institutions",30330.0,30330.0,46980.0,0.15,0.2146,0.5385,0.0,40.76963,-73.95899
Pace University,New York,NY,10038,"Elite, Low-Aid Institutions",51424.0,51424.0,68092.0,0.2707,0.4639,0.6141,0.0,40.70914,-74.00298
Paul Smiths College of Arts and Science,Paul Smiths,NY,12970,"High-Risk, High-Aid Institutions",32049.0,32049.0,50865.0,0.3668,0.759,0.5333,0.0,44.44949,-74.33222
Plaza College,Forest Hills,NY,11375,"High-Risk, High-Aid Institutions",15450.0,15450.0,25190.0,0.8501,0.8005,0.6287,0.0,40.72315,-73.84373
Davis College,Pottersville,NY,12860,"Middle-Tier, Mixed-Aid Institutions",17500.0,17500.0,22080.0,0.3562,0.2123,0.3889,0.0,43.72843,-73.80942
Davis College,Pottersville,NY,12860,"High-Risk, High-Aid Institutions",17500.0,17500.0,22080.0,0.3562,0.2123,0.3889,0.0,43.72843,-73.80942
Pratt Institute-Main,Brooklyn,NY,11205,"Elite, Low-Aid Institutions",59683.0,59683.0,76533.0,0.1741,0.3418,0.7269,0.0,40.69654,-73.96807
Rensselaer Polytechnic Institute,Troy,NY,12180,"Elite, Low-Aid Institutions",61884.0,61884.0,79934.0,0.1865,0.5005,0.8316,0.0,42.7516,-73.59997
Roberts Wesleyan University,Rochester,NY,14624,"High-Risk, High-Aid Institutions",37504.0,37504.0,49621.0,0.3969,0.6746,0.6393,0.0,43.12765,-77.7317
Rochester Institute of Technology,Rochester,NY,14623,"Elite, Low-Aid Institutions",57016.0,57016.0,71714.0,0.2612,0.552,0.708,0.0,43.08798,-77.64314
University of Rochester,Rochester,NY,14627,"Elite, Low-Aid Institutions",64348.0,64348.0,82600.0,0.1624,0.403,0.8448,0.0,43.12931,-77.62912
Russell Sage College,Troy,NY,12180,"High-Risk, High-Aid Institutions",36756.0,36756.0,50986.0,0.4328,0.9252,0.6567,0.0,42.7516,-73.59997
St Bonaventure University,Saint Bonaventure,NY,14778,"Elite, Low-Aid Institutions",40150.0,40150.0,55265.0,0.2274,0.9208,0.7039,0.0,42.07759,-78.4827
St. Francis College,Brooklyn,NY,11201,"Middle-Tier, Mixed-Aid Institutions",27570.0,27570.0,42269.0,0.4723,0.2786,0.5229,0.0,40.69477,-73.99031
St Lawrence University,Canton,NY,13617,"Elite, Low-Aid Institutions",63870.0,63870.0,79665.0,0.2098,0.5497,0.7965,0.0,44.5789,-75.14668
The College of Saint Rose,Albany,NY,12203,"High-Risk, High-Aid Institutions",37452.0,37452.0,52773.0,0.3862,0.6082,0.5095,0.0,42.68138,-73.85099
St. Thomas Aquinas College,Sparkill,NY,10976,"Elite, Low-Aid Institutions",37720.0,37720.0,51685.0,0.184,0.2717,0.626,0.0,41.02871,-73.92594
Sarah Lawrence College,Bronxville,NY,10708,"Elite, Low-Aid Institutions",63678.0,63678.0,79320.0,0.1265,0.4241,0.6997,0.0,40.9379,-73.83167
Siena College,Loudonville,NY,12211,"Elite, Low-Aid Institutions",44405.0,44405.0,62329.0,0.2335,0.6692,0.7584,0.0,42.7083,-73.76393
Skidmore College,Saratoga Springs,NY,12866,"Elite, Low-Aid Institutions",65030.0,65030.0,81890.0,0.1371,0.3437,0.8167,0.0,43.07537,-73.7401
St. Joseph's University-New York,Brooklyn,NY,11205,"Elite, Low-Aid Institutions",34535.0,34535.0,39254.0,0.3422,0.5321,0.6421,0.0,40.69654,-73.96807
St. John Fisher University,Rochester,NY,14618,"Elite, Low-Aid Institutions",39666.0,39666.0,52514.0,0.2815,0.6786,0.7444,0.0,43.11305,-77.55547
St. John's University-New York,Queens,NY,11439,"Elite, Low-Aid Institutions",50110.0,50110.0,61931.0,0.2367,0.266,0.6846,0.0,40.72195,-73.79455
SUNY College of Technology at Alfred,Alfred,NY,14802,"High-Risk, High-Aid Institutions",8862.0,16367.0,23982.0,0.448,0.5923,0.5269,0.0,42.2537,-77.78989
SUNY College of Technology at Canton,Canton,NY,13617,"High-Risk, High-Aid Institutions",8689.0,13519.0,23169.0,0.4723,0.6095,0.4406,0.0,44.5789,-75.14668
SUNY College of Technology at Delhi,Delhi,NY,13753,"High-Risk, High-Aid Institutions",8710.0,12480.0,26285.0,0.461,0.5439,0.4796,0.0,42.30873,-74.92538
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,12043,"High-Risk, High-Aid Institutions",8676.0,18586.0,27108.0,0.4251,0.5328,0.4091,0.0,42.70357,-74.5267
Farmingdale State College,Farmingdale,NY,11735,"Middle-Tier, Mixed-Aid Institutions",8576.0,18486.0,17146.0,0.3575,0.2307,0.5706,0.0,40.73177,-73.43284
SUNY Morrisville,Morrisville,NY,13408,"High-Risk, High-Aid Institutions",8769.0,19189.0,26031.0,0.5463,0.6816,0.319,0.0,42.92205,-75.66722
University at Albany,Albany,NY,12222,"High-Risk, High-Aid Institutions",10408.0,28998.0,28490.0,0.4212,0.5236,0.6389,0.0,42.68637,-73.82656
Binghamton University,Vestal,NY,13850,"Elite, Low-Aid Institutions",10363.0,29453.0,29657.0,0.2747,0.4094,0.8365,0.0,42.04873,-76.02663
University at Buffalo,Buffalo,NY,14260,"Elite, Low-Aid Institutions",10782.0,30572.0,29043.0,0.3226,0.4091,0.7341,0.0,43.00165,-78.79066
Stony Brook University,Stony Brook,NY,11794,"Elite, Low-Aid Institutions",10560.0,30350.0,29174.0,0.3837,0.3635,0.7785,0.0,40.91915,-73.12475
SUNY College of Environmental Science and Forestry,Syracuse,NY,13210,"Elite, Low-Aid Institutions",9206.0,21036.0,27958.0,0.2566,0.4238,0.6994,0.0,43.03186,-76.12653
SUNY Polytechnic Institute,Utica,NY,13502,"Middle-Tier, Mixed-Aid Institutions",8578.0,20228.0,23018.0,0.3673,0.4057,0.5918,0.0,43.14121,-75.16584
SUNY Brockport,Brockport,NY,14420,"High-Risk, High-Aid Institutions",8678.0,15748.0,25635.0,0.3873,0.6096,0.5664,0.0,43.21385,-77.93305
SUNY Buffalo State University,Buffalo,NY,14222,"High-Risk, High-Aid Institutions",8486.0,18906.0,23171.0,0.5333,0.5293,0.3604,0.0,42.92002,-78.8771
State University of New York at Cortland,Cortland,NY,13045,"Elite, Low-Aid Institutions",8815.0,18725.0,26413.0,0.2685,0.602,0.6825,0.0,42.58692,-76.19029
SUNY at Fredonia,Fredonia,NY,14063,"High-Risk, High-Aid Institutions",8771.0,19191.0,25331.0,0.3745,0.6606,0.5348,0.0,42.41451,-79.32518
SUNY College at Geneseo,Geneseo,NY,14454,"Elite, Low-Aid Institutions",8966.0,19206.0,26461.0,0.2541,0.4911,0.7209,0.0,42.79731,-77.76879
State University of New York at New Paltz,New Paltz,NY,12561,"Middle-Tier, Mixed-Aid Institutions",8524.0,18434.0,27034.0,0.3287,0.4502,0.6888,0.0,41.75602,-74.0958
SUNY Oneonta,Oneonta,NY,13820,"High-Risk, High-Aid Institutions",8812.0,19232.0,27258.0,0.3334,0.56,0.7024,0.0,42.47204,-75.03893
State University of New York at Oswego,Oswego,NY,13126,"High-Risk, High-Aid Institutions",8769.0,18679.0,27155.0,0.387,0.5333,0.6037,0.0,43.43469,-76.46331
SUNY College at Potsdam,Potsdam,NY,13676,"High-Risk, High-Aid Institutions",8712.0,18622.0,24489.0,0.4265,0.6427,0.4788,0.0,44.65178,-74.91377
SUNY at Purchase College,Purchase,NY,10577,"Middle-Tier, Mixed-Aid Institutions",8953.0,18863.0,28541.0,0.3563,0.4425,0.6156,0.0,41.03755,-73.71349
SUNY Old Westbury,Old Westbury,NY,11568,"Middle-Tier, Mixed-Aid Institutions",8379.0,18289.0,19934.0,0.4738,0.2966,0.4659,0.0,40.78659,-73.59719
SUNY College at Plattsburgh,Plattsburgh,NY,12901,"High-Risk, High-Aid Institutions",8881.0,18791.0,27415.0,0.3854,0.5719,0.5884,0.0,44.70842,-73.47465
Empire State University,Saratoga Springs,NY,12866,"Middle-Tier, Mixed-Aid Institutions",7630.0,17540.0,18221.0,0.35,0.3462,0.2932,0.0,43.07537,-73.7401
SUNY Maritime College,Throggs Neck,NY,10465,"Elite, Low-Aid Institutions",8540.0,18450.0,28880.0,0.2062,0.4069,0.7485,0.0,40.8286,-73.82179
Syracuse University,Syracuse,NY,13244,"Elite, Low-Aid Institutions",63061.0,63061.0,80396.0,0.1622,0.3436,0.8135,0.0,43.02318,-76.12329
Torah Temimah Talmudical Seminary,Staten Island,NY,10312,"Middle-Tier, Mixed-Aid Institutions",9600.0,9600.0,32440.0,0.5821,0.0,0.0952,0.0,40.54489,-74.18084
Touro University,New York,NY,10036,"Middle-Tier, Mixed-Aid Institutions",21810.0,21810.0,37824.0,0.3232,0.2652,0.6496,0.0,40.75976,-73.99064
Trocaire College,Buffalo,NY,14220,"High-Risk, High-Aid Institutions",19820.0,19820.0,29500.0,0.5,0.7515,0.1919,0.0,42.84571,-78.82264
Union College,Schenectady,NY,12308,"High-Risk, High-Aid Institutions",66456.0,66456.0,81627.0,0.1315,0.4466,0.8526,0.0,42.82152,-73.92006
Union College,Schenectady,NY,12308,"Elite, Low-Aid Institutions",66456.0,66456.0,81627.0,0.1315,0.4466,0.8526,0.0,42.82152,-73.92006
United States Merchant Marine Academy,Kings Point,NY,11024,"Middle-Tier, Mixed-Aid Institutions",945.0,945.0,9547.0,0.073,0.0655,0.8061,0.0,40.81642,-73.74205
Utica University,Utica,NY,13502,"High-Risk, High-Aid Institutions",24308.0,24308.0,36845.0,0.2961,0.6628,0.5547,0.0,43.14121,-75.16584
Vassar College,Poughkeepsie,NY,12604,"Elite, Low-Aid Institutions",67805.0,67805.0,83573.0,0.2086,0.4258,0.8914,0.0,41.68844,-73.89448
Villa Maria College,Buffalo,NY,14225,"High-Risk, High-Aid Institutions",28670.0,28670.0,33719.0,0.6086,0.5849,0.3101,0.0,42.92879,-78.752
School of Visual Arts,New York,NY,10010,"Elite, Low-Aid Institutions",49140.0,49140.0,75016.0,0.1472,0.2468,0.7493,0.0,40.73899,-73.98243
Wagner College,Staten Island,NY,10301,"Elite, Low-Aid Institutions",52000.0,52000.0,63007.0,0.227,0.5535,0.6814,0.0,40.62803,-74.09564
Webb Institute,Glen Cove,NY,11542,"Elite, Low-Aid Institutions",61060.0,61060.0,78140.0,0.0882,0.2255,0.8077,0.0,40.87073,-73.62879
