Institution Name,City,State,ZIP Code,Cluster,In-State Tuition,Out-of-State Tuition,Total Cost ($),% Receiving Pell Grants,% Receiving Federal Loans,Graduation Rate (4-Year),3-Year Default Rate,Latitude,Longitude
Philander Smith University,Little Rock,AR,72202,"High-Risk, High-Aid Institutions",13014.0,13014.0,26729.0,0.7139,0.6268,0.3231,0.0,34.74626,-92.27016
Williams Baptist University,Walnut Ridge,AR,72476,"High-Risk, High-Aid Institutions",20330.0,20330.0,32222.0,0.4715,0.4733,0.3592,0.0,36.04533,-90.91692
Southern Arkansas University Main Campus,Magnolia,AR,71753,"High-Risk, High-Aid Institutions",9820.0,15400.0,24721.0,0.446,0.6668,0.465,0.0,33.22974,-93.18461
University of Arkansas-Fort Smith,Fort Smith,AR,72913,"Middle-Tier, Mixed-Aid Institutions",6906.0,13770.0,18052.0,0.3914,0.2817,0.3696,0.0,,
Academy of Art University,San Francisco,CA,94105,"High-Risk, High-Aid Institutions",28024.0,28024.0,47195.0,0.4176,0.5049,0.4046,0.0,37.79239,-122.39707
Antelope Valley Community College District,Lancaster,CA,93536,"Middle-Tier, Mixed-Aid Institutions",1124.0,8228.0,15158.0,0.4203,0.0416,0.3061,0.0,34.75267,-118.3889
Art Center College of Design,Pasadena,CA,91103,"Elite, Low-Aid Institutions",51640.0,51640.0,71652.0,0.245,0.3564,0.8261,0.0,34.16738,-118.16446
Azusa Pacific University,Azusa,CA,91702,"Elite, Low-Aid Institutions",43600.0,43600.0,54735.0,0.3465,0.4648,0.6442,0.0,34.24129,-117.82614
Bakersfield College,Bakersfield,CA,93305,"Middle-Tier, Mixed-Aid Institutions",1430.0,10310.0,13726.0,0.2876,0.0085,0.2263,0.0,35.38989,-118.98515
Bethesda University,Anaheim,CA,92801,"Middle-Tier, Mixed-Aid Institutions",7220.0,7220.0,11766.0,0.25,0.1543,0.1818,0.0,33.84441,-117.95175
Biola University,La Mirada,CA,90639,"Elite, Low-Aid Institutions",46704.0,46704.0,58430.0,0.2601,0.4467,0.6881,0.0,33.90565,-118.01499
Bryan University,Tempe,AZ,85281,"High-Risk, High-Aid Institutions",12185.0,12185.0,26688.0,0.747,0.8183,0.24,0.0,33.42805,-111.93157
Bryan University,Tempe,AZ,85281,"High-Risk, High-Aid Institutions",12185.0,12185.0,26688.0,0.747,0.8183,0.24,0.0,33.42805,-111.93157
California Baptist University,Riverside,CA,92504,"High-Risk, High-Aid Institutions",39720.0,39720.0,52408.0,0.4096,0.6258,0.5953,0.0,33.90607,-117.39854
California College of the Arts,San Francisco,CA,94107,"Elite, Low-Aid Institutions",57946.0,57946.0,78664.0,0.2474,0.4564,0.5872,0.0,37.76473,-122.39508
California Institute of Technology,Pasadena,CA,91125,"Elite, Low-Aid Institutions",63255.0,63255.0,83598.0,0.1487,0.0356,0.9316,0.0,34.13772,-118.12492
California Lutheran University,Thousand Oaks,CA,91360,"Elite, Low-Aid Institutions",50670.0,50670.0,63768.0,0.3016,0.7776,0.7402,0.0,34.21475,-118.87735
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,"Elite, Low-Aid Institutions",11075.0,30995.0,29918.0,0.1832,0.2349,0.8519,0.0,35.30747,-120.66986
California State University-Bakersfield,Bakersfield,CA,93311,"Middle-Tier, Mixed-Aid Institutions",7696.0,19576.0,18815.0,0.612,0.2512,0.4931,0.0,35.15378,-119.16567
California State University-Stanislaus,Turlock,CA,95382,"Middle-Tier, Mixed-Aid Institutions",7826.0,19706.0,18542.0,0.5531,0.2266,0.58,0.0,37.52831,-120.85214
California State University-San Bernardino,San Bernardino,CA,92407,"Middle-Tier, Mixed-Aid Institutions",7675.0,19555.0,16910.0,0.5713,0.2337,0.5465,0.0,34.22394,-117.38839
California State Polytechnic University-Pomona,Pomona,CA,91768,"Middle-Tier, Mixed-Aid Institutions",7439.0,19319.0,22672.0,0.4603,0.2526,0.6674,0.0,34.06358,-117.78941
California State University-Chico,Chico,CA,95929,"Middle-Tier, Mixed-Aid Institutions",8064.0,19944.0,25590.0,0.4008,0.3306,0.6363,0.0,39.72578,-121.85022
California State University-Dominguez Hills,Carson,CA,90747,"Middle-Tier, Mixed-Aid Institutions",7064.0,18944.0,15449.0,0.6104,0.1956,0.4685,0.0,33.86372,-118.25142
California State University-Fresno,Fresno,CA,93740,"Middle-Tier, Mixed-Aid Institutions",6980.0,18860.0,18650.0,0.5573,0.1978,0.5482,0.0,36.81638,-119.74613
California State University-Fullerton,Fullerton,CA,92832,"Middle-Tier, Mixed-Aid Institutions",7073.0,18953.0,16767.0,0.4714,0.2206,0.6922,0.0,33.86871,-117.92914
California State University-East Bay,Hayward,CA,94542,"Middle-Tier, Mixed-Aid Institutions",7055.0,18935.0,22803.0,0.4357,0.2857,0.4551,0.0,37.6553,-122.02584
California State University-Long Beach,Long Beach,CA,90840,"Middle-Tier, Mixed-Aid Institutions",7008.0,18888.0,20310.0,0.4932,0.2414,0.6986,0.0,33.78449,-118.12133
California State University-Los Angeles,Los Angeles,CA,90032,"Middle-Tier, Mixed-Aid Institutions",6813.0,18698.0,17153.0,0.6605,0.204,0.5257,0.0,34.0793,-118.17835
California State University-Northridge,Northridge,CA,91330,"Middle-Tier, Mixed-Aid Institutions",7095.0,18975.0,20317.0,0.5599,0.2263,0.5618,0.0,34.2446,-118.52669
California State University-Sacramento,Sacramento,CA,95819,"Middle-Tier, Mixed-Aid Institutions",7602.0,19482.0,22714.0,0.4863,0.2485,0.5582,0.0,38.56816,-121.43772
University of California-Berkeley,Berkeley,CA,94720,"Elite, Low-Aid Institutions",14850.0,45627.0,42708.0,0.2733,0.1823,0.9289,0.0,37.87185,-122.25226
University of California-Davis,Davis,CA,95616,"Elite, Low-Aid Institutions",15247.0,46024.0,38067.0,0.3078,0.2322,0.8507,0.0,38.55819,-121.80044
University of California-Irvine,Irvine,CA,92697,"Elite, Low-Aid Institutions",14237.0,45014.0,36121.0,0.3729,0.2181,0.8595,0.0,33.65061,-117.85091
University of California-Los Angeles,Los Angeles,CA,90095,"Elite, Low-Aid Institutions",13747.0,44524.0,36643.0,0.271,0.2069,0.9266,0.0,34.07121,-118.44334
University of California-Riverside,Riverside,CA,92521,"Elite, Low-Aid Institutions",14170.0,44947.0,34975.0,0.4669,0.3281,0.7656,0.0,33.96794,-117.32731
University of California-San Diego,La Jolla,CA,92093,"Elite, Low-Aid Institutions",15265.0,46042.0,36325.0,0.3289,0.2412,0.8763,0.0,32.88219,-117.23706
University of California-Santa Barbara,Santa Barbara,CA,93106,"Elite, Low-Aid Institutions",14965.0,45742.0,36776.0,0.2799,0.2021,0.8533,0.0,34.41719,-119.85111
University of California-Santa Cruz,Santa Cruz,CA,95064,"Elite, Low-Aid Institutions",14560.0,45337.0,38649.0,0.3175,0.2943,0.7445,0.0,36.99158,-122.05886
California Institute of the Arts,Valencia,CA,91355,"Elite, Low-Aid Institutions",56724.0,56724.0,78425.0,0.2213,0.3404,0.6415,0.0,34.42379,-118.58437
California State University Maritime Academy,Vallejo,CA,94590,"Middle-Tier, Mixed-Aid Institutions",7672.0,19552.0,27138.0,0.2871,0.4332,0.6682,0.0,38.09546,-122.24986
Chapman University,Orange,CA,92866,"Elite, Low-Aid Institutions",62784.0,62784.0,81327.0,0.1974,0.62,0.8036,0.0,33.78453,-117.84479
Charles R Drew University of Medicine and Science,Los Angeles,CA,90059,"High-Risk, High-Aid Institutions",18933.0,18933.0,33973.0,0.313,0.687,0.5,0.0,33.92709,-118.2491
Concordia University-Irvine,Irvine,CA,92612,"Elite, Low-Aid Institutions",41390.0,41390.0,56500.0,0.2295,0.5091,0.625,0.0,33.65984,-117.82457
San Diego Christian College,Santee,CA,92071,"Middle-Tier, Mixed-Aid Institutions",26300.0,26300.0,40057.0,0.1605,0.1639,0.2353,0.0,32.85045,-116.99479
Claremont McKenna College,Claremont,CA,91711,"Elite, Low-Aid Institutions",64150.0,64150.0,82127.0,0.1948,0.1941,0.9517,0.0,34.12836,-117.71523
University of Silicon Valley,San Jose,CA,95134,"High-Risk, High-Aid Institutions",22480.0,22480.0,36361.0,0.4749,0.7177,0.3492,0.0,37.43003,-121.94528
California College of ASU,Los Angeles,CA,90015,"High-Risk, High-Aid Institutions",26175.0,26175.0,33732.0,0.474,0.6055,0.4842,0.0,34.03932,-118.26625
Cypress College,Cypress,CA,90630,"Middle-Tier, Mixed-Aid Institutions",1150.0,9399.0,15752.0,0.3215,0.0128,0.351,0.0,33.81814,-118.03814
Design Institute of San Diego,San Diego,CA,92121,"High-Risk, High-Aid Institutions",29350.0,29350.0,42093.0,0.5484,0.5699,0.5,0.0,32.8973,-117.20231
Dominican University of California,San Rafael,CA,94901,"Elite, Low-Aid Institutions",50666.0,50666.0,68620.0,0.2958,0.5477,0.7627,0.0,37.98053,-122.50249
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,90015,"Elite, Low-Aid Institutions",34325.0,34325.0,53393.0,0.262,0.4705,0.6715,0.0,34.03932,-118.26625
