INSTNM,CITY,STABBR,ZIP,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,NPT4_PUB,NPT4_PRIV,TUITIONFEE_PROG,PCTPELL,PCTFLOAN,DEBT_MDN,GRAD_DEBT_MDN_SUPP,ADM_RATE,SAT_AVG,AVGFACSAL,UGDS,C150_4,RET_FT4,CDR3,MD_EARN_WNE_P10
Heritage University,Toppenish,WA,98948,2,19920.0,19920.0,29632.0,,11893.0,,0.6269,0.3166,11925,14573,,,8007.0,782.0,0.3981,0.5794,0.0,49416.0
Highline College,Des Moines,WA,98198-9800,1,4623.0,5156.0,19642.0,10878.0,,,0.1712,0.0177,6113,9500,,,10187.0,3487.0,0.3862,,0.0,47869.0
International Air and Hospitality Academy,Vancouver,WA,98661,3,,,,,26404.0,8925.0,0.6407,0.7319,6333,6333,,,,132.0,,,0.0,52574.0
Bastyr University,Kenmore,WA,98028-4966,2,,,,,,,0.3784,0.5135,12500,13817,,,7020.0,58.0,,,0.0,49364.0
Bates Technical College,Tacoma,WA,98405,1,5569.0,11518.0,15805.0,4176.0,,,0.089,0.0194,5563,PS,,,7943.0,1613.0,,,0.0,50051.0
Lake Washington Institute of Technology,Kirkland,WA,98034-8506,1,5156.0,11017.0,15351.0,5886.0,,,0.1197,0.0451,10356,15047,,,9325.0,2179.0,0.3985,,0.0,50669.0
Lower Columbia College,Longview,WA,98632,1,4346.0,5633.0,16748.0,8222.0,,,0.3113,0.1807,6487,10506,,,9483.0,1743.0,0.25,,0.0,40691.0
BJ's Beauty & Barber College,Tacoma,WA,98409,3,,,,,,9660.0,0.1742,0.053,6333,6333,,,,26.0,,,0.0,23216.0
North Seattle College,Seattle,WA,98103-3599,1,5058.0,5547.0,16377.0,8351.0,,,0.1365,0.022,7000,15458,,,10108.0,2792.0,0.3243,,0.0,47728.0
Northwest University,Kirkland,WA,98083-0579,2,36035.0,36035.0,48442.0,,25161.0,,0.2306,0.7333,15000,20891,0.8805,1204.0,7786.0,642.0,0.6349,0.7308,0.0,54914.0
Olympic College,Bremerton,WA,98337-1699,1,4197.0,9740.0,15380.0,7755.0,,,0.1645,0.0434,8000,12000,,,9454.0,3263.0,0.3403,,0.0,43169.0
Perry Technical Institute,Yakima,WA,98903-1296,2,,,,,23292.0,49596.0,0.4931,0.7385,13364,14139,,,6658.0,973.0,,,0.0,57764.0
Pacific Lutheran University,Tacoma,WA,98447-0003,2,50964.0,50964.0,62921.0,,21370.0,,0.3277,0.4398,17074,22578,0.8053,1152.0,8856.0,2350.0,0.7099,0.7943,0.0,66990.0
Peninsula College,Port Angeles,WA,98362,1,4586.0,5111.0,13974.0,4529.0,,,0.3076,0.0745,9000,15786,,,7510.0,1139.0,0.4063,,0.0,37078.0
University of Puget Sound,Tacoma,WA,98416,2,59900.0,59900.0,75509.0,,38920.0,,0.1671,0.4287,19250,25000,0.7628,1332.0,11473.0,1631.0,0.6791,0.8045,0.0,69594.0
Renton Technical College,Renton,WA,98056-4123,1,6723.0,7257.0,15067.0,5051.0,,,0.18,0.0391,6993,7920,,,9727.0,1539.0,0.55,,0.0,49782.0
Saint Martin's University,Lacey,WA,98503-7500,2,44210.0,44210.0,56353.0,,22618.0,,0.3978,0.5927,15625,22500,0.7593,1057.0,7572.0,1254.0,0.5709,0.7329,0.0,62092.0
South Seattle College,Seattle,WA,98106-1499,1,4865.0,5354.0,15497.0,6802.0,,,0.0981,0.0086,5478,PS,,,8059.0,1495.0,0.2625,,0.0,44486.0
Seattle Central College,Seattle,WA,98122,1,4865.0,5354.0,15104.0,6329.0,,,0.2147,0.0391,8943,12000,,,10512.0,3879.0,0.3141,,0.0,43307.0
Seattle Pacific University,Seattle,WA,98119-1997,2,38814.0,38814.0,53986.0,,24820.0,,0.3318,0.5148,16946,24000,0.9109,1191.0,9324.0,2073.0,0.6215,0.7462,0.0,64506.0
Seattle University,Seattle,WA,98122-4340,2,54285.0,54285.0,68633.0,,34802.0,,0.2161,0.461,16658,19883,0.7605,1266.0,10543.0,4117.0,0.7331,0.846,0.0,75272.0
Shoreline Community College,Shoreline,WA,98133-5696,1,4388.0,7430.0,18499.0,10116.0,,,0.1256,0.0439,7123,12021,,,7974.0,3109.0,,,0.0,52009.0
Skagit Valley College,Mount Vernon,WA,98273,1,5620.0,7561.0,14326.0,6116.0,,,0.2819,0.0583,8798,13805,,,9481.0,2581.0,0.336,,0.0,43505.0
South Puget Sound Community College,Olympia,WA,98512-6292,1,5103.0,5637.0,17864.0,9090.0,,,0.2291,0.0678,6334,11000,,,8242.0,2692.0,,,0.0,45039.0
Spokane Community College,Spokane,WA,99217-5399,1,4057.0,5494.0,14083.0,6206.0,,,0.2775,0.1992,8625,13501,,,9377.0,4114.0,0.3726,,0.0,41984.0
Spokane Falls Community College,Spokane,WA,99224-5288,1,4058.0,5494.0,14536.0,7402.0,,,0.2909,0.191,7645,12000,,,9242.0,2881.0,0.3039,,0.0,38955.0
Stylemaster College of Hair Design,Longview,WA,98632-3027,3,,,,,8222.0,16500.0,0.6267,0.5333,7460,8953,,,,64.0,,,0.0,20580.0
Tacoma Community College,Tacoma,WA,98466-6100,1,4920.0,11030.0,16197.0,9321.0,,,0.2432,0.133,7718,13000,,,9446.0,4248.0,0.3277,,0.0,47168.0
Walla Walla Community College,Walla Walla,WA,99362-9267,1,6513.0,7967.0,17580.0,8343.0,,,0.2896,0.1304,9500,14000,,,8887.0,2372.0,0.4746,,0.0,43526.0
Walla Walla University,College Place,WA,99324-1198,2,33027.0,33027.0,44075.0,,23992.0,,0.2515,0.4854,19306,26842,,,5879.0,1214.0,0.6416,0.8446,0.0,61885.0
Washington State University,Pullman,WA,99164-5910,1,12997.0,29073.0,27176.0,14401.0,,,0.2559,0.3083,14853,19500,0.8536,,10999.0,21583.0,0.6164,0.7957,0.0,68905.0
University of Washington-Seattle Campus,Seattle,WA,98195-4550,1,12643.0,41997.0,30282.0,13485.0,,,0.1546,0.1579,12375,14615,0.4253,,14660.0,31588.0,0.837,0.949,0.0,78466.0
Wenatchee Valley College,Wenatchee,WA,98801-1799,1,5118.0,5652.0,20346.0,10733.0,,,0.2705,0.0423,7046,10332,,,10324.0,1762.0,0.3955,,0.0,41127.0
Western Washington University,Bellingham,WA,98225-9008,1,9286.0,27853.0,28305.0,18680.0,,,0.2076,0.2816,13500,18500,0.9131,1235.0,11372.0,13574.0,0.6555,0.7973,0.0,62569.0
Whatcom Community College,Bellingham,WA,98226,1,5146.0,11096.0,18173.0,9608.0,,,0.1859,0.0482,8000,10643,,,10165.0,2280.0,0.3643,,0.0,44092.0
Whitman College,Walla Walla,WA,99362,2,61492.0,61492.0,75042.0,,35506.0,,0.1467,0.3637,12000,18437,0.4999,1365.0,10562.0,1523.0,0.8098,0.8869,0.0,67589.0
Whitworth University,Spokane,WA,99251,2,50920.0,50920.0,65711.0,,25884.0,,0.2799,0.5364,18000,25000,0.8677,1212.0,7998.0,1927.0,0.6839,0.8035,0.0,58561.0
Yakima Valley College,Yakima,WA,98907-2520,1,5163.0,5697.0,19374.0,10402.0,,,0.3794,0.0784,8834,13966,,,8826.0,2539.0,0.3377,,0.0,43499.0
Appalachian Beauty School,Belfry,KY,41514,3,,,,,13366.0,10915.0,0.8197,0.0,PS,PS,,,,43.0,,,,
Appalachian Bible College,Mount Hope,WV,25880-9557,2,18230.0,18230.0,29451.0,,17401.0,,0.4091,0.2091,6767,11000,0.9857,1068.0,3349.0,168.0,0.7561,0.85,0.0,37467.0
B M Spurr School of Practical Nursing,Glen Dale,WV,26038,2,,,,,9956.0,5620.0,0.4815,0.0,PS,PS,,,,16.0,,,,
Ben Franklin Career Center,Dunbar,WV,25064,1,,,,2161.0,,4950.0,0.5412,0.0,PS,PS,,,,99.0,,,,37962.0
Bethany College,Bethany,WV,26032,2,34816.0,34816.0,49137.0,,15306.0,,0.4097,0.6839,23750,27000,0.6049,,6307.0,642.0,0.4625,0.6307,0.0,44512.0
Bluefield State University,Bluefield,WV,24701-2198,1,10240.0,17560.0,20747.0,12529.0,,,0.4075,0.5347,12038,18250,0.8722,998.0,7396.0,1231.0,0.3456,0.5533,0.0,38217.0
Cabell County Career Technology Center,Huntington,WV,25705-2827,1,,,,869.0,,4980.0,0.5161,0.0,PS,PS,,,,26.0,,,,33975.0
Charleston School of Beauty Culture,Charleston,WV,25304,3,,,,,11801.0,9000.0,0.7222,0.4667,5500,6128,,,,54.0,,,0.0,17827.0
University of Charleston,Charleston,WV,25304,2,32842.0,32842.0,44031.0,,22012.0,,0.2863,0.3374,12666,19500,0.6453,,7016.0,2083.0,0.4633,0.6907,0.0,55774.0
Clarksburg Beauty Academy and School of Massage Therapy,Clarksburg,WV,26301,3,,,,,10663.0,18000.0,0.75,0.3942,6498,6415,,,,58.0,,,0.0,16306.0
Concord University,Athens,WV,24712,1,9700.0,20600.0,18969.0,9983.0,,,0.4682,0.456,11250,18900,0.8965,980.0,7461.0,1394.0,0.4225,0.4904,0.0,42703.0
Davis & Elkins College,Elkins,WV,26241-3996,2,31270.0,31270.0,44322.0,,19428.0,,0.4031,0.6538,17057,27000,0.5823,985.0,5589.0,681.0,0.366,0.581,0.0,43411.0
Fairmont State University,Fairmont,WV,26554-2470,1,8454.0,18372.0,18091.0,9055.0,,,0.3304,0.4131,12500,21000,0.9924,993.0,7049.0,2690.0,0.4832,0.6421,0.0,46857.0
Glenville State University,Glenville,WV,26351-1292,1,9412.0,11140.0,22974.0,16358.0,,,0.4204,0.3507,11123,25000,,,6539.0,1177.0,0.3549,0.6293,0.0,39315.0
Huntington Junior College,Huntington,WV,25701,2,10050.0,10050.0,16788.0,,10729.0,,0.8707,0.6803,17321,21604,,,3341.0,209.0,,,0.0,21783.0
James Rumsey Technical Institute,Martinsburg,WV,25403-0259,1,,,,12242.0,,6055.0,0.3,0.0,PS,PS,,,,137.0,,,,45133.0
Ralph R Willis Career and Technical Center,Stollings,WV,25646,1,,,,863.0,,5400.0,0.8529,0.0,PS,PS,,,,28.0,,,,51465.0
Marshall University,Huntington,WV,25755,1,8942.0,20294.0,21299.0,8327.0,,,0.3784,0.4534,16750,23250,0.9646,1051.0,8317.0,7149.0,0.4869,0.787,0.0,46354.0
Mercer County Technical Education Center,Princeton,WV,24740,1,,,,3658.0,,5877.0,0.4683,0.0,PS,PS,,,,102.0,,,,33511.0
Monongalia County Technical Education Center,Morgantown,WV,26501-6841,1,,,,3110.0,,4915.0,0.3871,0.0,PS,PS,0.5,,,48.0,,,,40499.0
Morgantown Beauty College Inc,Morgantown,WV,26505-5430,3,,,,,11040.0,20502.0,0.5433,0.5197,6052,6365,,,,74.0,,,0.0,22230.0
West Virginia University at Parkersburg,Parkersburg,WV,26104,1,4420.0,9124.0,10643.0,3613.0,,,0.2972,0.1989,8250,12570,,,6127.0,1692.0,0.3061,,0.0,35171.0
Potomac State College of West Virginia University,Keyser,WV,26726,1,5040.0,12624.0,15593.0,7403.0,,,0.3943,0.3265,15500,22500,,,7151.0,952.0,0.2598,0.6016,0.0,55939.0
Academy of Careers and Technology,Beckley,WV,25801,1,,,,3350.0,,12500.0,0.3915,0.0,PS,PS,,,,147.0,,,,32756.0
Salem University,Salem,WV,26426,3,10750.0,13750.0,21792.0,,14469.0,,0.5144,0.668,7405,24694,,,3417.0,695.0,0.273,0.5197,0.0,34642.0
Shepherd University,Shepherdstown,WV,25443,1,8642.0,19082.0,19863.0,12391.0,,,0.2694,0.4111,14297,21600,0.9565,1022.0,7679.0,2375.0,0.4949,0.7206,0.0,49358.0
Southern West Virginia Community and Technical College,Logan,WV,25601,1,4944.0,7560.0,15702.0,8064.0,,,0.5198,0.1877,5750,9190,,,5522.0,1146.0,,,0.0,32153.0
Fred W Eberle Technical Center,Buckhannon,WV,26201,1,,,,2268.0,,10000.0,0.963,0.0,PS,PS,,,,119.0,,,,43364.0
West Virginia School of Osteopathic Medicine,Lewisburg,WV,24901,1,,,,,,,,,PS,PS,,,,,,,0.0,
West Virginia State University,Institute,WV,25112-1000,1,9049.0,14623.0,19906.0,10191.0,,,0.1758,0.1571,15250,23338,0.9637,979.0,7092.0,1328.0,0.3351,0.6324,0.0,40492.0
West Virginia University Hospital Departments of Rad Tech and Nutrition,Morgantown,WV,26506-8062,2,,,,,,,0.1091,0.2,12000,PS,,,,60.0,,,0.0,69666.0
West Liberty University,West Liberty,WV,26074,1,8732.0,17116.0,23526.0,16295.0,,,0.3194,0.4878,16000,23250,0.7212,1041.0,6843.0,1578.0,0.6062,0.691,0.0,43296.0
West Virginia University Institute of Technology,Beckley,WV,25801,1,8064.0,20120.0,18343.0,9957.0,,,0.2429,0.2554,15500,22500,0.61,1044.0,8189.0,1009.0,0.3612,0.6094,0.0,55939.0
West Virginia Wesleyan College,Buckhannon,WV,26201-2994,2,33494.0,33494.0,47374.0,,18148.0,,0.3735,0.7559,15750,27000,0.9505,1045.0,6109.0,909.0,0.4945,0.6836,0.0,51593.0
West Virginia Junior College-Charleston,Cross Lanes,WV,25313-1304,3,14544.0,14544.0,22745.0,,11856.0,,0.7333,0.64,7195,8270,,,4865.0,317.0,,,0.0,27472.0
West Virginia Junior College-Morgantown,Morgantown,WV,26505,3,14313.0,14313.0,24486.0,,15987.0,,0.6788,0.8279,8178,9881,,,5425.0,584.0,0.5904,,0.0,31912.0
International Beauty School 4,Martinsburg,WV,25401,3,,,,,14581.0,25000.0,0.8516,0.9375,6326,6333,,,,86.0,,,0.0,18906.0
West Virginia Northern Community College,Wheeling,WV,26003-3699,1,4544.0,12728.0,11196.0,3215.0,,,0.4247,0.099,6000,10245,,,5927.0,785.0,,,0.0,30162.0
West Virginia University,Morgantown,WV,26506,1,9648.0,27360.0,23678.0,12997.0,,,0.2041,0.4408,15500,22500,0.8626,1129.0,11524.0,17705.0,0.612,0.8145,0.0,55939.0
